stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding
2335023,412,,Jimmy Carter Blvd & Hunters Club Ln,,33.872646,-84.187997,,,0,,America/New_York,,,0
2335024,413,,Jimmy Carter Blvd & Mr. Clean Carwash,,33.87193,-84.187763,,,0,,America/New_York,,,0
2335025,573,,Live Oak Pkwy & Jimmy Carter Blvd,,33.907341,-84.204822,,,0,,America/New_York,,,0
2335026,415,,Jimmy Carter Blvd & Martins Rest Ob,,33.93144,-84.222072,,,0,,America/New_York,,,0
2335027,416,,Jimmy Carter Blvd & Sunrise Village Ln,,33.888412,-84.194429,,,0,,America/New_York,,,0
2335028,418,,Jimmy Carter Blvd & Norhtbelt Dr,,33.92738,-84.219276,,,0,,America/New_York,,,0
2335029,419,,Jimmy Carter Blvd & O'riley,,33.922873,-84.213174,,,0,,America/New_York,,,0
2335030,421,,Jimmy Carter Blvd & Pacific Dr,,33.935446,-84.227955,,,0,,America/New_York,,,0
2335031,423,,Jimmy Carter Blvd & Quick Trip Ob,,33.924278,-84.215927,,,0,,America/New_York,,,0
2335032,424,,Jimmy Carter Blvd & Regency Pkwy Ob,,33.929772,-84.221127,,,0,,America/New_York,,,0
2335033,425,,Jimmy Carter Blvd & Rockbridge Rd (ihop),,33.896309,-84.197557,,,0,,America/New_York,,,0
2335034,426,,Jimmy Carter Blvd & Spectra,,33.936013,-84.233753,,,0,,America/New_York,,,0
2335035,427,,Jimmy Carter Blvd & Shelby Dr,,33.895174,-84.196963,,,0,,America/New_York,,,0
2335036,428,,Jimmy Carter Blvd & Walmart Ob,,33.894475,-84.196516,,,0,,America/New_York,,,0
2335037,430,,Jimmy Carter Blvd & Sonic Ob,,33.922778,-84.213689,,,0,,America/New_York,,,0
2335038,431,,Jimmy Carter Blvd & Tracey Valley Dr,,33.899234,-84.20279,,,0,,America/New_York,,,0
2335039,432,,Jimmy Carter Blvd & Wandering Way,,33.881175,-84.18992,,,0,,America/New_York,,,0
2335040,433,,Jimmy Carter Blvd & Wandering Way,,33.880857,-84.189512,,,0,,America/New_York,,,0
2335041,434,,Jimmy Carter Blvd & Pacific Dr (granite),,33.935635,-84.228433,,,0,,America/New_York,,,0
2335042,436,,Johnson Rd & L&ing Plaza Ob,,33.921209,-84.007821,,,0,,America/New_York,,,0
2335043,438,,Nash St & Gjac Garage Ave,,33.949621,-83.992072,,,0,,America/New_York,,,0
2335044,439,,131 Langley Professional Building,,33.95458,-83.997366,,,0,,America/New_York,,,0
2335045,440,,Langley Dr & Plaza Park Office,,33.955857,-83.997854,,,0,,America/New_York,,,0
2335046,441,,Langley Dr & Methodist Church,,33.954712,-83.997163,,,0,,America/New_York,,,0
2335047,442,,Langley Dr & Huff St (shell),,33.95595,-83.998129,,,0,,America/New_York,,,0
2335048,443,,Lawrenceville Hwy & Main St,,33.89287,-84.141349,,,0,,America/New_York,,,0
2335049,444,,Lawrenceville Hwy & Hillcrest Rd Ob,,33.893008,-84.141654,,,0,,America/New_York,,,0
2335050,445,,Lawrenceville Hwy & Bartow Jenkins Park,,33.946561,-84.006312,,,0,,America/New_York,,,0
2335051,446,,Lawrenceville Hwy& Berkmar Middle Sch Ob,,33.901201,-84.12627,,,0,,America/New_York,,,0
